"p_id","wave_id","begin_datetime","end_datetime","age","gend","gend_specify","hispanic","race","race_specify","current_zip","current_lngth","adults","children","ok_lngth","home_lot","concern_water_availability","concern_water_quality","concern_water_cost","concern_land_wildlife","concern_land_soil","concern_infra_electricity","concern_infra_transportation","rank_water_availability","rank_water_quality","rank_water_cost","rank_land_wildlife","rank_land_soil","rank_infra_electricity","rank_infra_transportation","risk_tornado","risk_hail","risk_wind","risk_lightning","risk_flood","risk_snow_ice","experience_tornado","experience_hail","experience_wind","experience_lightning","experience_flood","experience_snow_ice","future_tornado","future_hail","future_wind","future_lightning","future_flood","future_snow_ice","risk_flash_drought","risk_pluvial","risk_heat_wave","risk_cold_spell","experience_flash_drought","experience_pluvial","experience_heat_wave","experience_cold_spell","future_flash_drought","future_pluvial","future_heat_wave","future_cold_spell","risk_long_drought","experience_long_drought","future_long_drought","risk_wildfire","risk_earthquake","experience_wildfire","experience_earthquake","future_wildfire","future_earthquake","s2s_aware","s2s_access","wthr_info_paper","wthr_info_web","wthr_info_govweb","wthr_info_loctv","wthr_info_cabtv","wthr_info_radio","wthr_info_fam","wthr_info_soc","wthr_info_phone","s2s_use","s2s_trust","s2s_reliable","s2s_detail","s2s_access_no_fnd","s2s_access_no_inacc","s2s_access_no_rel","s2s_access_no_int","s2s_access_no_oth","s2s_access_oth_spec","cpc_image_rand","cpc_see","cpc_int_sub","cpc_int_obj","cpc_use","cpc_int_no_why","cpc_use_no_fnd","cpc_access_no_inacc","cpc_access_no_rel","cpc_access_no_int","cpc_access_no_oth","cpc_access_oth_spec","s2s_vote_gov","s2s_bid","s2s_wtp","s2s_wtp_con_yes","s2s_wtp_con_no","s2s_comm_agnst","s2s_comm_unsur","s2s_passed","glbcc","glbcc_cert","glbcc_risk","glbwrm_ok","rate_family","rate_social","rate_health","rate_ment","rate_finances","rate_home_val","rate_savings","rate_environment","rate_roads","sf_pcl_reliving","sf_pcl_avoid_reminders","sf_pcl_distant","sf_pcl_irritable","fut_hlth_srvy","trust_policy","trust_agencies","trust_private","party","party_spec","iden","lean","ideol","vote_loc","talk_politics_friends","talk_politics_strangers","att_politics","role_policy","role_science","role_public","role_business","role_nonprofit","education","inc","income_people","inc50","inc100","inc150","inc200","smartphone","citizen_science","is_fieldphotoinvite","norman_area","cinr_participate","cinr_preference","study_area","region","ocwp_region"
"R_2qyOJ1eGq42nPXR","S3OK Wave 5 (Spring 2024)",1709066703,1709067102,34,0,NA,0,3,NA,74112,1,2,0,34,1,5,5,5,5,5,5,5,3,1,4,5,7,2,6,4,4,4,4,4,4,1,0,1,1,0,1,4,4,4,4,4,4,4,4,4,4,0,0,0,1,4,4,4,4,5,0,4,4,4,1,1,4,4,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",1,4,4,2,NA,0,0,0,1,0,NA,3,79,NA,NA,NA,NA,"I don’t think it would be beneficial ",2,1,8,7,1,4,4,5,4,1,4,1,4,1,5,5,5,5,1,1,2,3,2,NA,1,NA,4,1,1,1,3,10,"15",25,20,30,4,1,1,2,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"R_1P0Ot94AMTH7Qxb","S3OK Wave 5 (Spring 2024)",1709066724,1709067327,56,0,NA,0,1,NA,74964,17,2,0,17,3,4,5,3,3,4,3,4,4,1,7,5,2,6,3,5,2,3,4,4,2,0,1,1,1,1,1,4,4,4,4,4,4,3,4,4,3,0,1,1,1,4,4,5,4,4,0,4,4,5,1,1,5,5,2,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",2,4,1,4,NA,0,0,0,0,0,NA,2,75,NA,NA,NA,"Because I do not support spending money on more weather research.",NA,3,0,9,0,0,4,3,5,3,3,5,3,5,3,2,2,2,3,1,2,2,1,2,NA,1,NA,6,0,3,3,4,10,"20",20,30,20,3,1,2,4,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Lower Arkansas"
"62d0ad67-c101-e480-77e1-5b6ff731c7f4","S3OK Wave 5 (Spring 2024)",1709066801,1709068151,29,0,NA,0,1,NA,73505,3,2,4,29,2,1,5,4,5,5,5,5,7,1,2,5,3,4,6,4,5,5,4,3,3,0,1,1,0,0,1,4,4,3,4,4,2,3,4,4,2,0,1,1,1,2,4,4,3,2,0,2,4,3,0,1,5,5,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,NA,"percent",0,3,4,2,NA,0,1,0,0,0,NA,4,15,0,NA,10,"I will never vote for something that will raise taxes. We already pay more than we can afford in taxes.",NA,2,1,5,5,1,2,3,4,3,2,3,1,1,1,3,4,4,3,1,1,1,1,3,NA,NA,3,4,1,3,1,3,5,"15",30,20,30,2,2,1,NA,7,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South West","Beaver-Cache"
"R2NM11644","S3OK Wave 5 (Spring 2024)",1709066804,1709068565,71,1,NA,0,1,NA,74074,9,2,0,67,2,3,4,4,5,4,4,5,4,3,5,7,6,2,1,3,3,4,4,3,2,0,1,1,1,0,0,3,3,3,3,4,2,4,3,4,2,1,0,0,1,4,3,4,2,4,0,4,3,3,0,1,3,3,1,3,0,1,1,0,0,0,0,0,0,"Hunting, vacation",3,4,3,0,0,0,0,0,NA,"word",1,2,4,4,"How are “very small” , “small”, etc quantified? ",0,0,0,0,0,NA,4,61,0,NA,6,"Against new taxes in general.",NA,5,0,5,1,1,4,3,4,3,4,3,4,4,2,1,2,4,2,1,3,3,3,2,NA,2,NA,6,1,3,1,3,25,"10",15,50,0,7,2,2,NA,8,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","North Central","Upper Arkansas"
"Nm-W105114","S3OK Wave 5 (Spring 2024)",1709066903,1709067688,61,1,NA,0,1,NA,74701,22,2,0,59,1,1,2,4,2,2,2,3,2,3,5,7,6,4,1,3,2,2,2,2,2,0,0,0,0,0,0,3,3,3,3,3,3,2,2,2,2,0,0,0,0,3,3,3,3,2,0,3,2,2,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,1,0,0,NA,"word",2,5,4,2,NA,1,1,1,0,0,NA,2,30,NA,NA,NA,"It WOULD cost me.  I'm a taxpayer and I (and other taxpayers) DO pay for studies like this.",NA,2,0,3,3,0,4,4,4,4,5,4,4,4,2,1,1,1,1,1,1,2,2,2,NA,2,NA,7,1,2,2,5,1,"5",90,3,1,8,4,2,NA,NA,NA,21,1,1,1,NA,NA,NA,"Outside Little River Watershed","South East","Blue-Boggy"
"62dd66be-e3d3-7917-4dfc-79cc088ec702","S3OK Wave 5 (Spring 2024)",1709066907,1709083121,61,1,NA,0,1,NA,73045,28,1,0,61,3,1,1,1,2,2,3,4,7,5,6,3,4,2,1,4,4,4,4,4,4,0,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,0,0,1,1,3,3,3,3,3,0,3,4,3,0,1,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,4,4,4,NA,0,0,0,0,0,NA,4,26,0,NA,10,"We don’t need any more taxes, we pay way too much in taxes now. ",NA,4,0,10,0,0,1,1,3,3,2,3,2,4,2,3,3,3,3,1,1,2,2,2,NA,1,NA,7,1,4,5,4,1,"0",99,0,0,2,2,1,NA,6,NA,NA,1,1,1,1,0,NA,"Outside Little River Watershed","Oklahoma City","Central"
"S5PH249","S3OK Wave 5 (Spring 2024)",1709067043,1709069364,75,0,NA,0,1,NA,73937,24,2,0,74,3,5,2,5,2,4,4,5,2,6,3,7,5,4,1,4,4,4,4,3,4,0,0,1,0,0,1,3,3,3,3,3,3,3,3,3,3,0,0,0,1,3,3,3,3,4,1,3,4,3,0,0,3,3,1,3,0,1,0,0,1,0,0,0,0,"agriculture",3,3,2,0,0,0,0,0,NA,"percent",1,3,5,2,NA,0,1,0,0,0,NA,3,66,NA,NA,NA,NA,"All government funding comes from working taxpaying people   I'm not sure the benefit would be worth the cost.",4,0,5,3,2,3,3,4,4,4,4,4,4,2,1,1,1,1,1,3,3,3,2,NA,2,NA,6,1,5,1,5,10,"40",20,20,10,6,NA,2,NA,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Panhandle"
"R_2YwRujMmrwpgL9q","S3OK Wave 5 (Spring 2024)",1709067061,1709067483,35,1,NA,0,1,NA,73503,4,2,3,4,2,2,2,2,1,1,2,1,4,1,2,6,7,3,5,4,4,4,3,2,2,0,0,1,0,0,1,4,4,4,4,4,3,3,2,2,2,0,1,1,1,4,4,4,3,3,0,4,2,3,0,0,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,3,4,4,NA,0,0,0,0,0,NA,3,71,NA,NA,NA,NA,"Tough to know. ",3,1,6,7,2,4,3,5,4,5,4,5,3,3,2,2,2,1,1,1,2,2,3,NA,NA,2,6,1,2,1,3,10,"40",30,10,10,7,3,1,NA,NA,11,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Beaver-Cache"
"R3WAPH8853","S3OK Wave 5 (Spring 2024)",1709067113,1709086973,47,1,NA,0,1,NA,73025,1,4,0,47,2,2,4,5,2,4,4,4,1,2,5,7,3,4,6,5,5,5,4,3,4,1,1,1,1,0,1,4,5,4,3,3,4,5,2,4,3,1,0,1,1,4,3,5,4,4,0,4,5,4,0,1,5,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",1,3,1,4,NA,0,0,0,0,0,NA,5,21,1,7,NA,NA,NA,5,1,8,10,1,3,3,2,2,4,3,4,4,3,3,2,2,3,1,3,4,3,1,NA,1,NA,4,1,3,1,4,15,"50",5,15,15,6,4,2,NA,NA,NA,21,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"R_2z6B4dQ22qVWhIW","S3OK Wave 5 (Spring 2024)",1709067124,1709079622,59,0,NA,0,1,NA,74003,30,1,0,58,2,2,5,2,1,5,4,5,6,2,7,5,3,4,1,4,3,4,3,3,4,0,1,1,0,0,1,3,3,3,3,3,3,4,3,4,4,1,0,0,1,5,4,4,4,5,0,4,2,2,0,0,3,4,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",0,4,4,3,NA,0,0,0,0,0,NA,5,83,0,NA,9,"Taxes are high enough even if it is for something that could be beneficial.",NA,3,0,9,5,2,5,4,5,3,4,4,2,3,3,1,1,1,1,1,2,2,2,2,NA,2,NA,6,1,1,1,3,10,"10",50,10,20,5,1,1,4,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"R2PH18718","S3OK Wave 5 (Spring 2024)",1709067131,1709068884,52,1,NA,0,2,NA,74447,8,2,0,29,3,1,5,5,2,4,2,4,6,1,3,7,2,5,4,1,1,3,1,1,2,0,1,1,1,1,1,2,2,4,3,4,4,2,4,3,4,1,1,0,1,3,4,3,4,2,0,2,3,3,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,NA,"word",0,5,3,2,NA,0,1,0,0,0,NA,1,82,NA,NA,NA,"Money does not solve anything ",NA,NA,0,10,0,0,2,3,3,3,2,2,2,2,3,2,4,3,1,1,1,1,1,3,NA,NA,3,4,1,4,2,3,0,"20",30,20,30,6,3,2,NA,NA,12,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Eufaula"
"R_2S9vLn4WZXoz0fI","S3OK Wave 5 (Spring 2024)",1709067133,1709068304,39,0,NA,0,1,NA,74129,7,2,2,11,2,2,1,3,3,3,2,4,6,5,4,2,3,7,1,3,2,3,2,2,2,0,0,1,0,0,1,3,3,3,3,3,3,2,2,3,2,0,0,0,1,3,3,3,3,3,0,3,3,2,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,0,0,NA,"percent",1,3,4,2,NA,0,1,1,0,0,NA,4,24,2,NA,NA,NA,"I would want to know exactly how the money would be used and how the data would be used.",4,0,7,3,0,4,3,4,4,2,3,3,4,2,2,3,3,2,1,2,3,3,2,NA,1,NA,6,1,2,1,2,10,"40",10,20,20,7,1,1,4,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"R_PIe6IX5pfrl17l7","S3OK Wave 5 (Spring 2024)",1709067138,1709068005,67,0,NA,0,6,NA,74820,40,2,0,67,3,1,2,2,2,2,2,2,6,3,5,7,4,2,1,4,4,2,4,3,3,0,0,1,0,0,0,3,3,3,3,3,3,2,2,3,2,0,0,0,1,3,3,3,3,3,0,3,2,2,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,NA,"percent",2,4,4,3,NA,0,0,0,0,0,NA,4,98,0,NA,3,"Would hve to factor in cost ",NA,3,0,6,6,2,5,4,4,4,5,4,4,3,3,1,2,1,1,1,3,3,3,2,NA,2,NA,6,1,3,1,3,10,"60",5,20,5,7,3,2,NA,NA,11,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"R_1JXU0lX3lbg3oFF","S3OK Wave 5 (Spring 2024)",1709067159,1709075157,63,1,NA,0,1,NA,73151,20,4,0,20,2,4,2,4,4,2,2,2,1,6,2,4,7,5,3,5,4,4,3,2,3,0,0,1,0,0,1,3,3,3,3,4,3,2,1,2,2,0,0,0,0,3,3,3,3,3,1,3,3,2,0,1,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,1,4,1,"Weather forecast for the immediate future are not real accurate much less moving out further in advance.",0,1,0,0,0,NA,1,4,NA,NA,NA,"Government spends entirely too much money currently and I don’t support adding another government expenditure that would have minimal benefit if the study proved successful.",NA,2,0,8,1,0,4,4,4,4,5,5,5,5,4,1,2,1,2,1,2,4,3,3,NA,NA,2,7,1,4,2,5,10,"25",10,40,15,6,4,1,NA,NA,NA,21,1,1,1,1,2,0,"Outside Little River Watershed","Oklahoma City","Central"
"Ph-W300149","S3OK Wave 5 (Spring 2024)",1709067180,1709073310,63,1,NA,0,1,NA,73546,3,3,1,50,3,2,2,2,1,2,2,2,4,1,5,7,2,3,6,3,3,3,2,3,3,0,0,1,1,0,1,3,3,3,3,3,3,3,3,3,3,0,0,0,1,3,3,3,3,3,0,3,3,3,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,"I don't worry too much about the weather.","word",0,3,2,3,NA,0,0,0,0,0,NA,2,36,NA,NA,NA,"I don't have much confidence in weather forecasting in the long term.


",NA,2,0,10,0,0,5,4,4,4,4,4,4,3,3,1,2,1,1,1,2,2,3,2,NA,2,NA,7,1,4,2,3,15,"20",20,30,15,6,3,2,NA,NA,13,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South West","Beaver-Cache"
"62d192d7-381c-a575-e782-5fc1048398ce","S3OK Wave 5 (Spring 2024)",1709067180,1711847260,55,0,NA,0,6,NA,73030,14,2,0,34,3,4,5,5,2,4,4,4,3,1,2,5,4,6,7,5,3,4,3,3,2,0,0,1,1,0,1,3,3,3,3,3,3,3,3,5,2,0,0,0,1,4,2,4,3,4,0,4,4,3,0,0,4,4,1,3,0,1,0,0,0,0,0,0,0,"Planning travel",3,3,4,0,0,0,0,0,NA,"word",0,3,5,3,NA,0,0,0,0,0,NA,5,5,1,10,NA,NA,NA,5,0,6,6,1,4,3,3,3,2,3,3,4,2,2,2,1,2,1,2,2,2,2,NA,1,NA,5,1,4,2,4,0,"90",5,0,5,7,4,2,NA,NA,NA,21,1,1,1,NA,NA,NA,"Outside Little River Watershed","South East","Lower Washita"
"R2NM3458","S3OK Wave 5 (Spring 2024)",1709067214,1709067941,45,1,NA,0,1,NA,74074,13,2,0,14,2,2,1,1,4,2,2,4,3,6,7,5,4,1,2,2,2,3,2,3,2,0,0,1,1,0,0,3,4,5,4,5,3,3,4,5,3,1,1,1,1,5,5,5,5,5,0,5,2,2,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,1,0,0,NA,"percent",1,5,4,2,NA,1,1,1,0,0,NA,5,98,1,10,NA,NA,NA,2,1,10,10,1,3,3,2,3,3,3,3,2,2,1,3,2,1,1,3,4,1,1,NA,2,NA,1,1,3,1,2,30,"40",10,10,10,8,3,2,NA,NA,12,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Upper Arkansas"
"R_3iLv3hSo9GQEyT2","S3OK Wave 5 (Spring 2024)",1709067355,1709253921,47,0,NA,0,1,NA,73112,2,1,0,44,1,1,3,3,2,2,2,3,7,3,6,4,5,2,1,5,2,4,3,3,4,0,0,1,1,0,1,3,3,3,3,3,3,2,2,4,3,0,0,0,0,3,3,3,3,3,0,3,3,3,0,1,3,4,1,3,0,1,1,0,1,0,0,0,0,"Planning activities ",3,4,4,0,0,0,0,0,NA,"percent",2,4,4,4,NA,0,0,0,0,0,NA,4,49,2,NA,NA,NA,"I'd need to have more information ",3,0,5,0,0,3,1,1,1,1,NA,1,3,3,4,4,5,3,1,3,3,3,2,NA,2,NA,6,0,3,1,3,5,"70",10,10,5,3,1,1,1,NA,NA,NA,1,1,1,1,0,NA,"Outside Little River Watershed","Oklahoma City","Central"
"R3KIPH58687","S3OK Wave 5 (Spring 2024)",1709067389,1709130476,65,0,NA,0,1,NA,74743,6,1,0,55,1,3,4,4,3,4,5,5,4,1,5,6,7,2,3,3,2,2,2,2,2,0,0,0,0,0,0,5,4,3,3,5,4,3,3,3,3,1,0,1,1,4,4,4,4,4,0,3,4,4,0,0,4,5,1,3,0,1,0,0,0,0,0,1,1,"General knowledge",2,3,3,0,0,0,0,0,NA,"percent",2,1,3,3,"I just don't trust that they can forecast the future with any accuracy.",0,0,0,0,0,NA,3,78,NA,NA,NA,NA,"Not sure if this would be wise expenditure of limited $. Other things are more important.",2,1,6,2,0,3,2,3,3,4,3,4,3,1,1,1,4,2,1,2,2,3,2,NA,2,NA,7,1,5,3,5,5,"50",30,7,8,6,1,1,5,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Southeast"
"R_6hE4J6TyfQWuYPD","S3OK Wave 5 (Spring 2024)",1709067423,1709069026,72,1,NA,0,1,NA,74033,46,3,0,72,2,2,4,2,2,4,4,2,4,2,3,6,5,1,7,3,2,3,2,3,3,0,0,1,0,0,1,4,3,4,3,3,3,3,3,4,3,0,0,0,1,3,3,4,3,3,0,4,4,3,0,1,4,4,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,0,0,NA,"percent",1,4,3,3,NA,0,0,0,0,0,NA,5,69,0,NA,10,"I seldom use these forecasts and my taxes are already high enough. Don't need to give the gov't more money that they would probably not use as promised.",NA,2,1,8,10,1,3,3,2,3,3,3,3,3,3,1,2,2,1,1,1,2,2,2,NA,1,NA,5,1,3,1,3,5,"50",5,15,25,6,2,2,NA,6,NA,NA,0,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"R_w0oHoNKLgcJejzX","S3OK Wave 5 (Spring 2024)",1709067609,1709069465,58,0,NA,0,1,NA,73116,8,3,0,58,1,2,4,3,3,4,4,3,4,1,6,7,2,3,5,5,4,4,3,4,3,1,1,1,1,0,1,5,5,4,4,4,3,3,3,5,3,1,0,1,1,4,3,4,3,5,1,5,5,3,0,1,4,4,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",1,3,4,4,NA,0,0,0,0,0,NA,4,39,2,NA,NA,NA,"I would love it, just not sure if I can afford it.",4,0,5,5,0,2,2,1,3,1,2,1,3,4,2,2,2,2,1,2,3,4,2,NA,2,NA,6,0,3,2,3,20,"20",20,20,20,4,1,1,2,NA,NA,NA,1,1,1,1,0,NA,"Outside Little River Watershed","Oklahoma City","Central"
"62d918a4-187a-f08d-7fb8-0b6324d04bf0","S3OK Wave 5 (Spring 2024)",1709067649,1709068712,51,0,NA,0,1,NA,73554,12,2,1,12,2,3,2,2,4,2,5,1,2,3,4,6,5,1,7,4,4,4,4,4,3,0,0,1,1,0,1,3,3,3,3,3,3,4,2,5,3,0,0,0,1,3,3,3,3,5,1,4,4,4,0,1,4,4,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,3,3,3,NA,0,0,0,0,0,NA,2,36,NA,NA,NA,"We have more important things that need increased funding",NA,2,0,5,5,0,3,3,3,3,2,NA,2,3,3,1,1,1,1,1,2,2,2,2,NA,1,NA,4,1,3,3,4,20,"20",20,20,20,2,1,1,5,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Southwest"
"R2NM16634","S3OK Wave 5 (Spring 2024)",1709067656,1709071808,51,0,NA,0,1,NA,74020,6,2,1,44,2,4,4,2,3,4,4,5,4,2,7,6,5,3,1,2,4,4,3,3,3,0,0,1,1,0,1,4,4,4,4,4,4,5,4,4,3,1,1,0,1,5,4,4,3,5,1,5,4,3,0,1,4,3,1,3,0,0,1,1,0,0,0,0,0,"Outdoor activities, packing for a vacation",3,4,4,0,0,0,0,0,NA,"word",1,4,4,3,NA,0,0,0,0,0,NA,4,28,1,7,NA,NA,NA,4,1,8,9,1,3,2,3,3,4,3,4,3,3,3,3,2,2,1,3,4,3,3,NA,NA,3,4,1,3,1,5,20,"20",20,20,20,6,2,2,NA,9,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","North Central","Upper Arkansas"
"62d17e41-1597-3b61-eb5a-320a87a0c10a","S3OK Wave 5 (Spring 2024)",1709067681,1709068520,30,0,NA,0,1,NA,73008,4,4,3,30,1,1,1,1,1,1,1,5,3,5,6,2,7,4,1,5,5,5,5,5,2,0,0,1,1,0,1,3,3,3,3,3,3,5,5,5,5,1,1,1,1,3,3,3,3,5,1,3,5,5,0,1,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",0,2,4,3,"The colors and where they are located ",0,0,0,0,0,NA,5,34,2,NA,NA,NA,"I do not make a lot as it is and they would greatly affect my paychecks",3,0,5,5,2,3,3,3,2,2,NA,1,3,1,2,2,3,3,1,4,4,3,2,NA,2,NA,4,1,3,1,3,10,"20",50,10,10,4,1,1,2,NA,NA,NA,1,1,1,1,2,2,"Outside Little River Watershed","Oklahoma City","Central"
"R_23VxgNz4el1M9zF","S3OK Wave 5 (Spring 2024)",1709067714,1709069157,77,1,NA,0,1,NA,73089,7,2,0,7,3,3,4,5,5,3,4,2,4,3,1,5,6,2,7,4,4,5,3,3,2,0,1,1,NA,0,1,3,3,3,3,3,2,2,3,3,3,0,0,1,1,3,3,3,3,3,1,4,4,3,0,1,4,3,1,3,1,0,0,1,0,0,0,0,1,"Out of curiosity with regard to water costs and planting in the Spring",3,3,2,0,0,0,0,0,NA,"percent",1,2,4,3,"I understand it, I have little confidence in its accuracy",0,0,0,0,0,NA,4,82,0,NA,8,"I don't expect more taxes can improve greatly this problem of medium range forecasting. I don't really know if this kind of forecasting could be improved for any additional cost.",NA,2,0,4,5,2,5,4,2,4,5,4,5,3,4,1,2,2,1,1,2,3,4,2,NA,2,NA,6,1,4,1,4,10,"32",3,30,25,6,3,1,NA,NA,11,NA,1,1,1,1,2,2,"Outside Little River Watershed","Oklahoma City","Central"
"R2PH39427","S3OK Wave 5 (Spring 2024)",1709067720,1709069438,67,0,NA,0,1,NA,74114,4,2,0,66,2,2,2,2,3,2,1,1,4,1,5,3,2,6,7,4,3,2,2,2,3,0,0,1,0,0,1,2,3,3,4,3,4,4,3,4,3,0,0,0,1,3,2,4,4,3,1,4,2,2,0,0,4,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,3,4,3,NA,0,0,0,0,0,NA,4,4,1,8,NA,NA,NA,4,1,10,10,1,5,5,4,5,5,5,5,4,4,1,1,1,1,1,3,4,3,1,NA,2,NA,1,1,5,2,4,5,"50",5,10,30,2,2,2,NA,9,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Middle Arkansas"
"R_22QUgx2GBdjqGt9","S3OK Wave 5 (Spring 2024)",1709067797,1709069708,75,1,NA,0,1,NA,73110,46,1,0,75,2,1,2,2,3,2,4,4,4,2,5,6,7,1,3,4,4,5,3,2,2,0,0,1,1,0,1,3,3,3,3,2,2,3,2,3,4,1,0,1,1,3,3,3,3,3,0,3,3,2,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,1,0,0,NA,"percent",1,4,4,3,NA,0,0,0,0,0,NA,5,57,0,NA,6,"cost vs need",NA,3,1,7,8,1,3,2,3,4,3,3,4,3,3,1,2,2,1,1,2,4,3,1,NA,2,NA,3,1,5,2,4,10,"60",15,5,10,7,2,1,NA,10,NA,NA,0,0,0,1,0,2,"Outside Little River Watershed","Oklahoma City","Central"
"R_3nD9twulMN2dOCe","S3OK Wave 5 (Spring 2024)",1709067830,1709068844,62,0,NA,0,1,NA,74107,41,2,0,62,1,4,2,3,2,2,5,5,5,3,4,6,7,1,2,5,4,5,3,3,2,0,0,1,1,0,1,4,4,4,4,3,3,2,2,5,2,0,0,0,0,3,3,4,3,3,0,3,3,2,0,1,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",0,1,3,3,"looks below, but not sure",0,0,0,0,0,NA,4,59,2,NA,NA,NA,"not sure cause I don't like my taxes to increase",3,1,7,5,1,3,2,3,3,2,2,2,3,1,3,3,1,2,1,1,3,2,2,NA,1,NA,4,NA,2,2,2,25,"25",10,15,25,2,2,1,NA,8,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"R_1mxYBI86dCiZLoc","S3OK Wave 5 (Spring 2024)",1709067866,1709069515,65,0,NA,0,2,NA,74110,1,2,3,30,1,2,4,5,3,4,4,4,6,1,2,7,5,4,3,5,3,3,4,3,3,0,1,1,0,0,1,5,4,5,4,5,3,4,3,5,3,0,0,0,1,5,4,5,3,5,0,5,4,4,0,1,4,4,1,3,0,0,0,1,0,0,0,0,0,NA,3,4,4,0,0,0,0,0,NA,"word",2,2,4,3,NA,0,0,0,0,0,NA,3,83,NA,NA,NA,NA,"Because I don't know if they get very accurate very long time forcasts",4,1,5,10,1,2,3,2,3,1,NA,1,2,2,2,2,2,1,1,3,3,2,3,NA,NA,3,4,0,3,2,3,50,"25",10,10,5,5,1,1,2,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"Ph-W213663","S3OK Wave 5 (Spring 2024)",1709067895,1709069246,65,0,NA,0,1,NA,74105,21,2,0,65,2,2,2,2,2,2,2,3,3,4,7,5,6,2,1,4,4,4,3,4,2,0,0,1,0,0,1,3,3,3,3,3,3,4,4,4,4,0,0,0,1,3,3,3,3,3,0,3,4,4,0,1,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",2,3,4,3,NA,0,0,0,0,0,NA,3,11,NA,NA,NA,NA,"not sure how helpful these predictions are",2,1,8,8,1,3,3,3,3,3,3,4,4,3,1,1,1,1,1,3,3,3,1,NA,2,NA,3,1,3,1,4,10,"40",10,10,30,6,3,2,NA,NA,11,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Middle Arkansas"
